Actualités tech,Retrouvez toutes les dernières actualités tech et IT dans cette rubrique.  ,Actualités tech | Blog Free-Work IT,"Langages de programmation, outils pour développeurs, IA… Retrouvez ici toutes les actualités liées au domaine informatique.",fr
Tendances marché IT,"Quelles sont les grandes tendances du marché de l'emploi et du freelancing ? Evolution du marché IT, métiers IT les plus recherchés en ce moment par les recruteurs… Retrouvez ici toute l'actualité autour des métiers de l'informatique.",Marché de l'emploi et du freelancing dans le secteur de l'informatique,"Retrouvez ici toutes les actualités et tendances liées au marché IT (emploi, freelancing, compétences les plus recherchées…).",fr
Statut Freelance,"Vous vous lancez en tant que freelance, mais vous hésitez sur le statut à adopter ? Trouvez toutes les réponses à vos questions ici, ainsi que des outils et conseils pour développer sereinement votre activité de freelance IT. ",Développement d'activité et statuts | Blog Free-Work IT,"Indépendants ou en portage salarial, retrouvez ici toutes les actualités et informations liées aux différents statuts des freelances en informatique.",fr
Guide RH du freelancing,"Conseils RH, juridique, questions admiratives... Cette rubrique vous accompagne quotidiennement dans votre vie de freelance. ","Guide du freelancing : conseils juridique, administratif et comptable","Retrouvez ici de nombreux conseils sur le freelancing, l'administratif, les différents statuts juridiques, la gestion comptable, la relation clients… Toutes les informations liées aux domaines des freelances en informatique.",fr
Guide RH du salariat,"Tous les points RH sont abordés dans cette rubrique : congés payés, rupture conventionnelle, entretien annuel, revalorisation de salaire… Informez-vous sur vos droits. ","Questions juridiques, congés payés, entretien annuel… Tout sur vos droits.",Tout connaitre de vos droits en tant que salarié : découvrez notre guide RH sur le blog Free-Work IT !,fr
Worker life,"Les évolutions du travail, les nouveaux outils, des conseils sur la vie en entreprise, retrouvez tous ces tips ici. ","La vie en entreprise, les outils de gestion de projets, la démocratisation du télétravail…",Découvrez tous les tips pour une vie sereine en entreprise.,fr
Formation IT,"Besoin de conseils sur les formations en informatique , sur les nouvelles écoles, sur de nouveaux nouveaux cursus IT… tout est dans cette rubrique. ","Ecole, CPF, reconversion… Quelles formations dans le domaine de l'IT ? ",Tout connaitre des différentes formations pour rejoindre les métiers de l'informatique.,fr
IT stories,"Consutez les témoignages de freelances ou de salariés dans l'informatique : conseils et retours d'expérience, découvrez des profils IT passionnants et passionnés !","Témoignage IT, retour d'expériences métiers, freelancer, reconversion…","Conseils et retours d'expérience, découvrez l'histoire de freeworkers au profil IT passionnant et passionné !",fr
Tech news,"Find all the latest tech and IT news in this section.",Tech news | Blog Free-Work IT,"News on programming languages, developer topics....",en
IT market trends,"What are the main trends in the job market and in freelancing? IT market trends, the IT roles most sought-after by recruiters at the moment ... Find all the news about IT jobs here.",IT market trends | Blog Free-Work IT,"Job market and freelancing in the IT sector, the most sought-after roles...",en
Freelance status,"Are you starting out as a freelancer, but not sure what legal status to register as? Find all the answers to your questions here, as well as tools and tips to develop your IT freelance business with peace of mind. ",Freelance status | Blog Free-Work IT,"Business development: SARL, SAS, self-employed, umbrella companies, registering your business, etc",en
HR Guide to Freelancing,"HR advice, legal advice, useful questions... This section will support you in your day to day life as a freelancer.",HR Guide to Freelancing | Blog Free-Work IT,"Legal, administrative and accounting advice, customer relations",en
HR Guide for Employees,"All HR issues are covered in this section: paid leave, contract termination, annual review, salary increases, etc. Find out about your rights. ",HR Guide for Employees | Blog Free-Work IT,"Legal, paid leave, annual review...",en
Work life,"Changes in the workplace, new tools, advice on life in the workplace, find all these tips here. ",Work life | Blog Free-Work IT,"Corporate life, project management tools, remote working...",en
IT Training,"Need advice on IT training, new schools, latest IT courses... it's all here.",IT Training | Blog Free-Work IT,"What training should you do in the IT field? CPD, retraining...",en
IT stories,"Read interviews with freelancers or employees in the IT industry about jobs and job hunting in the IT field.",Tech news | Blog Free-Work IT,"Interviews, feedback from jobs, freelancing, retraining...",en
